iata,a_m2,a_mA,a_mD,a_s2,a_sA,a_sD,a_d2,a_dA,a_dD,a_i2,a_iA,a_iD,p_m2,p_mA,p_mD,p_s2,p_sA,p_sD,p_d2,p_dA,p_dD,p_i2,p_iA,p_iD,ndays
DOH,252349.00000000183,126212.00000000074,126136.99999999904,65225337.0000001,32629834.000000007,32595502.99999999,0.0,0.0,0.0,65225337.0000001,32629834.000000007,32595502.99999999,62.83855781201188,56.745652859075406,60.683251889752995,17979.284537237887,17279.931058614588,16765.925969994056,0.0,0.0,0.0,17979.284537237887,17279.931058614588,16765.925969994056,365
BKK,349482.0000000001,174898.00000000035,174583.99999999942,76657353.00000024,38359369.00000008,38297984.00000004,14205956.000000037,7118748.999999973,7087206.999999996,62451396.999999866,31240619.999999966,31210776.99999996,65.65423742923743,35.545906870906876,35.253639416139414,14192.436019536019,7824.867882117883,7788.854151404153,3525.1768897768898,2118.460606060606,3067.647619047619,11537.42857142857,6929.073096348096,6515.874575424576,365
DMK,206309.0000000002,103157.99999999956,103151.00000000017,39743501.00000003,19872659.000000037,19870842.00000005,23645363.00000005,11823141.000000015,11822222.000000058,16098138.000000065,8049518.000000026,8048619.999999997,45.155217005217,26.652247752247753,27.77926795426795,8807.728171828172,5261.266666666667,5344.546935009435,5936.293997668998,3549.0868187368187,3583.2,4014.756776556777,2418.8571428571427,2622.535042735042,365
SHA,284138.00000000105,142038.99999999875,142099.00000000044,59112828.00000019,29550394.00000004,29562434.000000034,55167185.00000032,27577587.000000052,27589597.999999974,3945643.0000000126,1972806.9999999898,1972835.9999999967,57.68558386058386,38.19658952158953,36.437429237429235,12289.508313908314,7826.501551226549,7530.63144910645,11637.918076368076,7563.897889610388,7328.99933954934,1800.6826923076924,1115.4503496503503,1220.199999999999,365
SYD,284821.9999999981,142432.00000000035,142390.00000000015,52409020.00000025,26215695.99999975,26193323.999999966,30664604.000000067,15343508.999999994,15321094.999999888,21744415.999999817,10872187.000000024,10872228.99999996,78.43635188341071,42.10232220139297,42.9786319044466,13383.793805540863,7610.959336861213,7917.573460541969,8166.462277428454,4236.144601436584,4311.974366240969,7249.333242402256,5986.628519935043,4953.963000682641,365
MEL,231177.00000000006,115446.99999999972,115730.00000000022,44412205.99999986,22185549.999999996,22226656.000000205,29383642.999999963,14674134.99999991,14709507.999999981,15028563.000000019,7511414.9999999935,7517147.999999995,54.655491585668,26.746084324172557,30.7383466823612,9669.226371928726,4816.6225363158555,5681.543634256177,6768.866194942448,3558.983338970731,4144.480398089346,3821.3481776288227,2542.008500427298,2154.6927551574026,365
ORY,219072.0000000007,109558.00000000004,109513.9999999998,42339514.99999969,21171948.999999914,21167566.0000001,7553084.999999973,3776383.9999999986,3776701.0000000014,34786430.00000006,17395564.999999896,17390865.000000183,59.54816823699177,38.011405547010085,33.190660414396085,11155.387815493734,7023.760600002351,6138.459869640164,3297.148169336384,2335.2333333333336,1764.1119174942705,8972.941060163608,6491.12328381612,5491.981059380078,365
CPH,236772.00000000128,118417.00000000017,118355.00000000016,39420544.99999986,19715911.999999836,19704633.000000115,2133132.0000000126,1066392.0,1066740.0000000012,37287413.00000056,18649519.999999963,18637892.999999944,66.18835974483034,39.644418758547346,47.81017324179088,10986.3592334682,6004.67703064909,6884.083617330383,1215.8581771170007,920.5055483731954,493.1550802139037,10274.756519950639,5798.36299125711,6565.083617330383,365
LGW,248983.00000000143,124511.00000000004,124472.00000000175,47985567.999999724,23996295.00000007,23989273.00000015,3594044.000000008,1797007.9999999942,1797036.0000000056,44391523.99999989,22199287.000000134,22192236.99999987,51.65030942913296,31.91111111111111,34.537658011922716,10788.690606778842,5795.809829059829,6295.608776844071,1687.9901624092954,1048.6144392243464,1220.5,10284.690606778842,5474.417069243156,6050.2451483157365,365
MEX,295572.0000000022,148442.00000000017,147129.99999999968,52198367.0000006,26273911.00000006,25924456.00000013,31485834.00000002,15747896.999999894,15737937.000000086,20712533.0000001,10526013.999999877,10186518.999999987,53.87284408402056,32.57128500245187,43.66574776530659,10015.575646736328,6078.115152821035,7645.943065888359,7049.243451319922,4474.64785610162,6103.8268312996515,5324.539285714286,3206.842109303248,3133.261904761905,365
