iata,name,country,size_m_pax_2025,screen_state,listed
BLL,Billund,DK,2.43,headroom,True
BLQ,Bologna,IT,10.62,tightening,True
BLR,Bengaluru,IN,41.73,headroom,True
BLV,,,,not_assessed,False
BLZ,,MW,,not_assessed,False
BMA,Stockholm,SE,,headroom,True
BME,Broome,AU,0.55,not_assessed,True
BMI,Bloomington-Normal,US,0.33,not_assessed,True
BMO,,,,too_short,False
BMU,,ID,,not_assessed,False
BMV,Ban Me Thuot,VN,0.94,not_assessed,True
BMW,Bordj Mokhtar,DZ,0.07,too_short,True
BNA,Nashville,US,27.16,headroom,True
BND,Bandar Abbas,IR,0.67,not_assessed,True
BNE,Brisbane,AU,24.87,at_ceiling,True
BNI,Benin City,NG,0.38,not_assessed,True
BNK,Ballina,AU,0.55,not_assessed,True
BNN,Bronnoysund,NO,0.16,not_assessed,True
BNX,Banja Luka,BA,0.48,too_short,True
BOB,Bora Bora,PF,0.55,not_assessed,True
BOC,,PA,,not_assessed,False
BOD,Bordeaux,FR,5.8,headroom,True
BOG,Bogota,CO,46.61,headroom,True
BOH,Bournemouth,GB,1.16,not_assessed,True
BOI,Boise,US,5.23,headroom,True
BOJ,Burgas,BG,,not_assessed,True
BOM,Mumbai,IN,53.14,tightening,True
BON,Bonaire,BQ,0.55,not_assessed,True
BOO,Bodo,NO,2.24,headroom,True
BOR,,,,too_short,False
BOS,Boston,US,42.68,headroom,True
BOY,Bobo Dioulasso,BF,,too_short,True
BPE,,,,not_assessed,False
BPL,,CN,,not_assessed,False
BPN,Balikpapan,ID,6.3,headroom,True
BPS,Porto Seguro,BR,2.23,not_assessed,True
BPT,,,,not_assessed,False
BPX,Qamdo/Changdu,CN,0.6,not_assessed,True
BQB,Busselton,AU,0.1,too_short,True
BQK,Brunswick,US,0.12,not_assessed,True
BQN,Aguadilla,PR,0.63,not_assessed,True
BQS,Blagoveschensk,RU,0.92,not_assessed,True
BRA,Barreiras,BR,0.07,not_assessed,True
BRC,San Carlos de Bariloche,AR,2.35,not_assessed,True
BRD,,US,,not_assessed,False
BRE,Bremen,DE,1.98,headroom,True
BRI,Bari,IT,7.27,tightening,True
BRL,Burlington,US,0.02,not_assessed,True
BRM,,VE,,not_assessed,False
BRN,Berne,CH,,not_assessed,True
BRO,Brownsville,US,0.32,not_assessed,True
BRQ,Brno,CZ,0.4,not_assessed,True
BRR,Barra,GB,0.02,not_assessed,True
BRS,Bristol,GB,10.0,headroom,True
BRU,Brussels,BE,24.5,headroom,True
BRW,,US,,not_assessed,False
BSA,,SO,,not_assessed,False
BSB,Brasilia,BR,16.25,headroom,True
BSC,Bahia Solano,CO,0.07,too_short,True
BSD,Baoshan,CN,0.49,not_assessed,True
BSG,,GQ,,not_assessed,False
BSK,Biskra,DZ,0.16,not_assessed,True
BSL,Basel/Mulhouse,CH,8.81,headroom,True
BSO,Basco,PH,0.09,not_assessed,True
BSR,,IQ,,not_assessed,False
BTC,,,,not_assessed,False
BTH,Batam,ID,,headroom,True
BTJ,Banda Aceh,ID,0.87,not_assessed,True
BTK,,RU,,not_assessed,False
BTM,,US,,not_assessed,False
BTR,Baton Rouge,US,0.85,not_assessed,True
BTS,Bratislava,SK,1.68,not_assessed,True
BTT,,US,,not_assessed,False
BTU,Bintulu,MY,1.17,not_assessed,True
BTV,Burlington,US,1.45,headroom,True
BTW,,,,not_assessed,False
BUA,,PG,,not_assessed,False
BUD,Budapest,HU,18.13,tightening,True
BUF,Buffalo,US,5.2,headroom,True
BUP,BUP,,0.04,too_short,True
BUQ,Bulawayo,ZW,0.29,not_assessed,True
BUR,Burbank,US,7.47,tightening,True
BUS,Batumi,GE,1.11,not_assessed,True
BUT,,,,too_short,False
BUU,,,,not_assessed,False
BUW,,ID,,not_assessed,False
BUZ,Bushehr,IR,0.26,not_assessed,True
BVA,Paris,FR,6.29,tightening,True
BVB,Boa Vista,BR,0.36,not_assessed,True
BVC,Boa Vista Island,CV,0.55,not_assessed,True
BVE,Brive-La-Gaillarde,FR,0.13,not_assessed,True
BVG,Berlevag,NO,,too_short,True
BVH,Vilhena,BR,,not_assessed,True
BWA,,NP,,not_assessed,False
BWI,Baltimore,US,27.0,headroom,True
BWN,,BN,,not_assessed,False
BWT,Burnie,AU,0.14,not_assessed,True
BWX,BWX,,0.12,not_assessed,True
BXB,,,,too_short,False
BXG,BXG,,0.03,too_short,True
BXU,Butuan,PH,0.99,not_assessed,True
BYK,,,,too_short,False
BZA,,,,not_assessed,False
BZE,Belize City,BZ,1.46,headroom,True
BZG,Bydgoszcz,PL,0.34,not_assessed,True
BZL,,,,too_short,False
BZN,Bozeman,US,2.83,headroom,True
BZO,Bolzano/Bozen,IT,0.2,too_short,True
BZV,Brazzaville,CG,0.81,not_assessed,True
BZX,BZX,,0.74,too_short,True
CAB,Cabinda,AO,0.24,not_assessed,True
CAC,Cascavel,BR,0.47,not_assessed,True
CAE,Columbia,US,1.32,headroom,True
CAG,Cagliari,IT,5.11,headroom,True
CAH,Ca Mau,VN,,not_assessed,True
CAI,Cairo,EG,30.73,headroom,True
CAK,Akron/Canton,US,0.97,headroom,True
CAN,Guangzhou,CN,81.1,headroom,True
CAP,,HT,,not_assessed,False
CAW,Campos,BR,,not_assessed,True
CAY,Cayenne,GF,0.53,not_assessed,True
CBB,,BO,,headroom,False
CBH,Bechar,DZ,0.13,not_assessed,True
CBO,Cotabato,PH,0.22,not_assessed,True
CBQ,Calabar,NG,0.17,not_assessed,True
CBR,Canberra,AU,3.2,headroom,True
CBT,Catumbela,AO,0.06,not_assessed,True
CCC,Cayo Coco,CU,0.37,not_assessed,True
CCF,Carcassonne,FR,,not_assessed,True
CCJ,Kozhikode,IN,3.82,headroom,True
CCM,,,,not_assessed,False
CCP,Concepcion,CL,2.16,not_assessed,True
CCS,Caracas,VE,3.99,headroom,True
CCU,Kolkata,IN,20.55,tightening,True
CDC,,US,,not_assessed,False
CDE,,,,not_assessed,False
CDG,Paris,FR,70.52,headroom,True
CDP,CDP,,0.09,not_assessed,True
CDR,,US,,not_assessed,False
CDT,CDT,,0.31,not_assessed,True
CDV,,US,,not_assessed,False
CEB,Cebu,PH,12.16,headroom,True
CEC,,US,,not_assessed,False
CED,Ceduna,AU,,not_assessed,True
CEE,,RU,,not_assessed,False
CEH,,,,too_short,False
CEI,Chiang Rai,TH,1.94,not_assessed,True
CEK,Chelyabinsk,RU,1.28,not_assessed,True
CEN,Ciudad Obregon,MX,0.55,not_assessed,True
CEZ,,US,,not_assessed,False
CFE,Clermont-Ferrand,FR,0.26,not_assessed,True
CFG,Cienfuegos,CU,,too_short,True
CFN,Donegal,IE,0.1,not_assessed,True
CFR,Caen,FR,0.29,not_assessed,True
CFS,Coffs Harbour,AU,0.3,not_assessed,True
CFU,Kerkyra,GR,3.78,tightening,True
CGB,Cuiaba,BR,2.48,headroom,True
CGD,,CN,,not_assessed,False
CGH,Sao Paulo,BR,25.24,headroom,True
CGI,,US,,not_assessed,False
CGK,Jakarta,ID,60.46,headroom,True
CGM,CGM,,0.07,not_assessed,True
CGN,Cologne/Bonn,DE,9.57,headroom,True
CGO,Zhengzhou,CN,,headroom,True
CGP,,BD,,not_assessed,False
CGQ,Changchun,CN,,headroom,True
CGR,Campo Grande,BR,1.53,not_assessed,True
CGY,Cagayan de Oro,PH,2.29,not_assessed,True
CHA,Chattanooga,US,1.29,headroom,True
CHC,Christchurch,NZ,6.67,tightening,True
CHG,,CN,,not_assessed,False
CHO,Charlottesville,US,0.7,not_assessed,True
CHQ,Chania,GR,2.93,not_assessed,True
CHS,Charleston,US,6.69,headroom,True
CHT,,NZ,,not_assessed,False
CHX,,PA,,not_assessed,False
CIA,Rome,IT,3.56,headroom,True
CID,Cedar Rapids,US,1.57,headroom,True
CIF,,CN,,headroom,False
CIH,,CN,,not_assessed,False
CIJ,,BO,,not_assessed,False
CIK,,US,,not_assessed,False
CIT,,KZ,,not_assessed,False
CIU,,US,,not_assessed,False
CIX,Chiclayo,PE,0.96,not_assessed,True
CIY,CIY,,,not_assessed,True
CJA,Cajamarca,PE,0.65,not_assessed,True
CJB,Coimbatore,IN,3.43,headroom,True
CJC,,CL,,not_assessed,False
CJJ,Cheongju,KR,3.96,tightening,True
CJM,CJM,,0.21,not_assessed,True
CJS,Ciudad Juarez,MX,2.12,not_assessed,True
CJU,Jeju,KR,22.65,headroom,True
CKB,,US,,not_assessed,False
CKG,Chongqing,CN,43.72,headroom,True
CKS,Carajas,BR,0.26,not_assessed,True
CKY,Conakry,GN,0.98,not_assessed,True
CKZ,CKZ,,0.11,not_assessed,True
CLD,,US,,too_short,False
CLE,Cleveland,US,10.5,headroom,True
CLJ,Cluj-Napoca,RO,3.22,headroom,True
CLL,,US,,not_assessed,False
CLO,Cali,CO,7.14,headroom,True
CLQ,Colima,MX,0.24,not_assessed,True
CLT,Charlotte,US,53.85,tightening,True
CLY,Calvi,FR,0.38,not_assessed,True
CMB,Colombo,LK,10.28,tightening,True
CME,Ciudad del Carmen,MX,0.18,not_assessed,True
CMH,Columbus,US,9.6,headroom,True
CMI,,US,,not_assessed,False
CMK,,,,not_assessed,False
CMN,Casablanca,MA,11.99,headroom,True
CMW,Camaguey,CU,0.11,not_assessed,True
CMX,,US,,not_assessed,False
CNF,Belo Horizonte,BR,12.7,headroom,True
CNM,,US,,not_assessed,False
CNN,CNN,,1.62,not_assessed,True
CNQ,,AR,,not_assessed,False
CNS,Cairns,AU,4.85,tightening,True
CNX,Chiang Mai,TH,9.54,headroom,True
CNY,,US,,not_assessed,False
COD,,US,,not_assessed,False
COH,COH,,0.01,too_short,True
COK,Kochi,IN,10.96,headroom,True
COO,Cotonou,BJ,0.85,not_assessed,True
COR,Cordoba,AR,3.22,headroom,True
COS,Colorado Springs,US,2.6,headroom,True
COU,,US,,not_assessed,False
COV,COV,,4.98,too_short,True
CPC,,AR,,not_assessed,False
CPD,,AU,,not_assessed,False
CPE,Campeche,MX,0.15,not_assessed,True
CPH,Copenhagen,DK,32.32,headroom,True
CPO,,CL,,not_assessed,False
CPR,Casper,US,0.2,not_assessed,True
CPT,Cape Town,ZA,10.8,headroom,True
CPV,Campina Grande,BR,0.17,not_assessed,True
CPX,CPX,,0.08,not_assessed,True
CRA,Craiova,RO,0.49,not_assessed,True
CRD,Comodoro Rivadavia,AR,0.58,not_assessed,True
CRK,Luzon Island,PH,3.02,headroom,True
CRL,Brussels,BE,10.62,headroom,True
CRM,Catarman,PH,0.05,not_assessed,True
CRP,Corpus Christi,US,0.78,not_assessed,True
CRV,Crotone,IT,0.32,not_assessed,True
CRW,Charleston,US,0.46,not_assessed,True
CRZ,,,,not_assessed,False
CSG,,US,,not_assessed,False
CSK,CSK,,0.09,too_short,True
CSX,Changsha,CN,,headroom,True
CSY,Cheboksary,RU,0.17,not_assessed,True
CTA,Catania,IT,11.32,tightening,True
CTC,Catamarca,AR,0.1,not_assessed,True
CTD,,,,not_assessed,False
CTG,Cartagena,CO,7.58,headroom,True
CTL,Charleville,AU,,not_assessed,True
CTM,Chetumal,MX,0.43,not_assessed,True
CTN,CTN,,0.02,not_assessed,True
CTS,Sapporo,JP,25.26,headroom,True
CTU,Chengdu,CN,32.66,headroom,True
CUC,Cucuta,CO,1.63,not_assessed,True
CUE,Cuenca,EC,0.63,not_assessed,True
CUK,,BZ,,headroom,False
CUL,Culiacan,MX,2.28,not_assessed,True
CUM,,,,not_assessed,False
CUN,Cancun,MX,27.65,headroom,True
CUR,Curacao,CW,2.24,headroom,True
CUU,Chihuahua,MX,1.84,not_assessed,True
CUZ,Cuzco,PE,4.73,tightening,True
CVG,Cincinnati,US,9.09,headroom,True
CVM,Ciudad Victoria,MX,,not_assessed,True
CVN,,US,,not_assessed,False
CVQ,CVQ,,0.04,not_assessed,True
CWA,Wausau,US,0.19,not_assessed,True
CWB,Curitiba,BR,6.22,headroom,True
CWC,,,,not_assessed,False
CWJ,CWJ,,0.16,not_assessed,True
